sim_time,world_x,world_y,world_yaw,state
0.004,-2.5,-4.9917070951466546e-21,1.1999999999999995,waiting
0.106,-2.499994670078208,-2.070523870707099e-06,1.1999999152828447,startup_and_global_localization
0.208,-2.4999756448576003,-1.1052276241902161e-05,1.239753019633256,startup_and_global_localization
0.308,-2.4997672116668395,-0.00011411989601089394,1.294653484776783,startup_and_global_localization
0.41,-2.4995398340275323,-0.00020340099532832455,1.3509072772725639,startup_and_global_localization
0.51,-2.49931733998568,-0.0002712598622642034,1.4061188418905086,startup_and_global_localization
0.612,-2.499092814813894,-0.000319305345466019,1.4624801995274448,startup_and_global_localization
0.714,-2.4988596414435627,-0.00035011807115905636,1.5188717645415615,startup_and_global_localization
0.816,-2.498640088565818,-0.0003588561373194402,1.5752760449742564,startup_and_global_localization
0.916,-2.4984271740791777,-0.00033088685803074326,1.6305741647329526,startup_and_global_localization
1.018,-2.4982410492799,-0.000297704401542322,1.6869589009602897,startup_and_global_localization
1.118,-2.4980222494869255,-0.00026857401043357175,1.742212683191372,startup_and_global_localization
1.22,-2.497803124783315,-0.00023809470713203462,1.7985048868827367,startup_and_global_localization
1.32,-2.497588054934834,-0.00020494764293906597,1.8536527585775942,startup_and_global_localization
1.422,-2.497367358274832,-0.0001555053185742976,1.9098112872989035,startup_and_global_localization
1.522,-2.4971605177596676,-0.0001110024420352297,1.9647804659967256,startup_and_global_localization
1.622,-2.496946694479764,-4.495424633914934e-05,2.0196342084059973,startup_and_global_localization
1.724,-2.496731629218298,3.897987584162969e-05,2.075443917828287,startup_and_global_localization
1.824,-2.4965219784335875,0.00013682843061288554,2.1299967165708766,startup_and_global_localization
1.926,-2.496317235598371,0.0002492932028317468,2.1854466331874036,startup_and_global_localization
2.028,-2.4960928536740026,0.00038544538781387443,2.240668527159395,startup_and_global_localization
2.128,-2.495872228592759,0.0005372367287053998,2.2945498234092345,startup_and_global_localization
2.228,-2.4956587968278003,0.0007035243332371812,2.3481347856166037,startup_and_global_localization
2.33,-2.495450292081242,0.0008920311596607852,2.4026668596603566,startup_and_global_localization
2.43,-2.4953187950135667,0.0011070265373441016,2.456407205719535,startup_and_global_localization
2.532,-2.4952599807327345,0.0013533908649819445,2.511509388865511,startup_and_global_localization
2.632,-2.4951488654339973,0.0015990825442021234,2.5657541748235686,startup_and_global_localization
2.732,-2.494997358099801,0.0018044040330685276,2.6202391140972883,startup_and_global_localization
2.834,-2.4948751050559683,0.002009274026313013,2.675990592893338,startup_and_global_localization
2.934,-2.4947716845812153,0.002220193476564123,2.7307961959401785,startup_and_global_localization
3.036,-2.4946895952999846,0.0024345247660318473,2.7868249594307137,startup_and_global_localization
3.136,-2.4946316378250897,0.002633918903143315,2.8418591852154678,startup_and_global_localization
3.236,-2.4945629198244696,0.002839437023150931,2.896969148570837,startup_and_global_localization
3.338,-2.494489967865358,0.003046618269486591,2.9532565075019472,startup_and_global_localization
3.438,-2.494453914986923,0.0032494197194519805,3.008500979293768,startup_and_global_localization
3.54,-2.4944535768745704,0.003455098884239326,3.064881489211337,startup_and_global_localization
3.64,-2.494447058311563,0.003661870013984206,3.120176602272388,startup_and_global_localization
3.74,-2.4944587631346793,0.003873817109773189,-3.107711586273708,startup_and_global_localization
3.842,-2.4944875186343234,0.0040846326259955535,-3.0513170771124942,startup_and_global_localization
3.942,-2.494522144335156,0.004291719872480151,-2.996049329870606,startup_and_global_localization
4.044,-2.494566214546004,0.004495385445695151,-2.9397157789265633,startup_and_global_localization
4.144,-2.494614268024604,0.004695145152369274,-2.8845412842651865,startup_and_global_localization
4.246,-2.4946778190402665,0.004899710644089636,-2.8283346264837683,startup_and_global_localization
4.348,-2.494755657835344,0.005106453822796487,-2.772218800705739,startup_and_global_localization
4.448,-2.494846135715453,0.0053036655517136,-2.7173106177093276,startup_and_global_localization
4.55,-2.4949522699252817,0.005499500936207656,-2.6614351377095096,startup_and_global_localization
4.65,-2.4950724365987047,0.005690929960931689,-2.6068065744415434,startup_and_global_localization
4.752,-2.4952098916480905,0.0058875327839142295,-2.5512663868539915,startup_and_global_localization
