sim_time,world_x,world_y,world_yaw,state
0.004,-2.5,-7.225905665325752e-23,-1.9999999999999993,waiting
0.106,-2.5000051999680224,2.3781227824092177e-06,-2.000000084717154,startup_and_global_localization
0.208,-2.500024645905823,1.2365150809351832e-05,-1.961461593880509,startup_and_global_localization
0.308,-2.500231315225814,0.00012875112012326726,-1.9066644783594364,startup_and_global_localization
0.41,-2.5004572686397664,0.00023240418703858692,-1.85049663305777,startup_and_global_localization
0.51,-2.500671628344487,0.0003117157235973584,-1.7953509935353271,startup_and_global_localization
0.612,-2.500901740940743,0.00037564950991518997,-1.739039510026721,startup_and_global_localization
0.714,-2.5011341000544816,0.00042058398452817874,-1.6826807291696135,startup_and_global_localization
0.816,-2.5013537949238778,0.00044201928285509914,-1.6262930813840208,startup_and_global_localization
0.916,-2.5015654172979658,0.0004308451263698555,-1.5709994483536485,startup_and_global_localization
1.018,-2.501781784053105,0.0004243422057991436,-1.5145936325412228,startup_and_global_localization
1.118,-2.501973749509195,0.000401148275281006,-1.45930811759998,startup_and_global_localization
1.22,-2.5021913802530893,0.00037705968940695585,-1.4029426940314949,startup_and_global_localization
1.32,-2.5024052797877863,0.0003531284187117282,-1.3477316923744915,startup_and_global_localization
1.422,-2.502621118728952,0.00030877193097654705,-1.2914755295914313,startup_and_global_localization
1.522,-2.5028450032518483,0.00024287288915449243,-1.2363997270339144,startup_and_global_localization
1.622,-2.503031174490098,0.00016455018075861838,-1.1814181596825173,startup_and_global_localization
1.724,-2.503238363908905,0.00010466970065535316,-1.125474512178356,startup_and_global_localization
1.824,-2.503453602242485,2.954508419152829e-05,-1.0707481846305646,startup_and_global_localization
1.926,-2.5036692480988667,-6.447071244776858e-05,-1.0150913034133446,startup_and_global_localization
2.028,-2.5038926984210366,-0.0001806616022611961,-0.9596283686733628,startup_and_global_localization
2.128,-2.5041072175601906,-0.0003086713631810112,-0.9054717535646654,startup_and_global_localization
2.228,-2.5043210680191024,-0.0004539550086444469,-0.8515672903782627,startup_and_global_localization
2.33,-2.5045368389125673,-0.0006178274148481778,-0.7968865221168858,startup_and_global_localization
2.43,-2.5047512578368125,-0.0008032563087174088,-0.7434372603235277,startup_and_global_localization
2.532,-2.50488336496473,-0.0010118608610056982,-0.6886427926479435,startup_and_global_localization
2.632,-2.5049485630360464,-0.0012579686472629745,-0.6346428211193323,startup_and_global_localization
2.732,-2.5051057705102844,-0.0014858884393533613,-0.5804217699734576,startup_and_global_localization
2.834,-2.505243439509021,-0.0016947781510909335,-0.5248604193391716,startup_and_global_localization
2.934,-2.5053563758081383,-0.0019025824523811168,-0.4702138254544431,startup_and_global_localization
3.036,-2.5054552376198767,-0.002119682077193202,-0.41432217605501,startup_and_global_localization
3.136,-2.5055500528638395,-0.0023308268329692025,-0.35940676582992725,startup_and_global_localization
3.236,-2.505637110631563,-0.0025214632054342636,-0.3043834157030338,startup_and_global_localization
3.338,-2.5057172182209593,-0.0027274002179723932,-0.24817167621036074,startup_and_global_localization
3.438,-2.5057669294450013,-0.002929397530785132,-0.19298148683105143,startup_and_global_localization
3.54,-2.5057849058357053,-0.0031348898812258545,-0.13664288054063736,startup_and_global_localization
